Date	iv9m
09.03.2005	7.625
10.03.2005	7.625
11.03.2005	7.5
14.03.2005	7.5
15.03.2005	7.5
17.03.2005	7.35
18.03.2005	7.35
21.03.2005	7.5
22.03.2005	7.25
23.03.2005	7.25
24.03.2005	7.25
25.03.2005	7.35
28.03.2005	7.2
29.03.2005	7.325
30.03.2005	7.25
31.03.2005	7.25
01.04.2005	7.325
04.04.2005	7.325
05.04.2005	7.325
06.04.2005	7.25
07.04.2005	7.25
08.04.2005	7.425
11.04.2005	7.25
12.04.2005	7.25
13.04.2005	7.25
14.04.2005	7.25
15.04.2005	7.3
18.04.2005	7.25
19.04.2005	7.25
20.04.2005	7.25
21.04.2005	7.275
22.04.2005	7.25
25.04.2005	7.2
26.04.2005	7.25
27.04.2005	7.25
28.04.2005	7.25
29.04.2005	7.25
03.05.2005	7.25
04.05.2005	7.225
05.05.2005	7.225
06.05.2005	7.225
11.05.2005	7.25
12.05.2005	7.225
13.05.2005	7.25
16.05.2005	7.225
17.05.2005	7.225
18.05.2005	7.225
19.05.2005	7.225
20.05.2005	7.25
23.05.2005	7.25
24.05.2005	7.25
25.05.2005	7.225
26.05.2005	7.225
27.05.2005	7.2
30.05.2005	7.25
31.05.2005	7.25
01.06.2005	7.25
02.06.2005	7.225
03.06.2005	7.225
06.06.2005	7.1
07.06.2005	7.225
08.06.2005	7.225
09.06.2005	7.225
10.06.2005	7.25
14.06.2005	7.25
15.06.2005	7.25
16.06.2005	7.075
17.06.2005	6.9
20.06.2005	6.9
21.06.2005	6.4
22.06.2005	6.8
23.06.2005	6.9
24.06.2005	6.5
27.06.2005	6.5
28.06.2005	6.5
29.06.2005	6.7
30.06.2005	6.5
01.07.2005	6.7
04.07.2005	6.7
05.07.2005	6.7
06.07.2005	6.9
07.07.2005	6.7
08.07.2005	6.9
11.07.2005	6.5
12.07.2005	6.9
13.07.2005	6.9
14.07.2005	6.9
15.07.2005	6.9
18.07.2005	6.9
19.07.2005	6.9
