Date	1W
03.02.2004	28.5611
04.02.2004	28.484
06.02.2004	28.52
23.03.2004	28.484
25.03.2004	28.498
01.04.2004	28.517
06.04.2004	28.5335
08.04.2004	28.5125
29.04.2004	29
13.05.2004	29.1175
19.05.2004	29.0226
20.05.2004	29.036
24.05.2004	29.0295
25.05.2004	29.013
27.05.2004	29.0375
01.06.2004	29.0715
08.07.2004	29.135
09.07.2004	29.15
19.07.2004	29.096
29.07.2004	29.1065
09.08.2004	29.2567
10.08.2004	29.266
19.08.2004	29.237
20.08.2004	29.2325
23.08.2004	29.2265
24.08.2004	29.239
03.09.2004	29.248
07.09.2004	29.2535
09.09.2004	29.231
10.09.2004	29.231
04.10.2004	29.212
05.10.2004	29.2231
06.10.2004	29.225
07.10.2004	29.2235
08.10.2004	29.226
11.10.2004	29.075
12.10.2004	29.1165
13.10.2004	29.1112
14.10.2004	29.1084
15.10.2004	29.1035
18.10.2004	29.1085
19.10.2004	29.1136
20.10.2004	29.1088
21.10.2004	29.1035
22.10.2004	28.9285
26.10.2004	28.7107
27.10.2004	28.753
28.10.2004	28.752
29.10.2004	28.7355
01.11.2004	28.7634
02.11.2004	28.7832
03.11.2004	28.7581
04.11.2004	28.7134
05.11.2004	28.6378
09.11.2004	28.6386
10.11.2004	28.6705
11.11.2004	28.668
12.11.2004	28.6585
15.11.2004	28.6676
16.11.2004	28.6671
17.11.2004	28.6224
18.11.2004	28.5355
19.11.2004	28.5165
22.11.2004	28.528
23.11.2004	28.49
24.11.2004	28.365
25.11.2004	28.2985
26.11.2004	28.304
29.11.2004	28.145
30.11.2004	28.12
01.12.2004	27.919
02.12.2004	27.9845
03.12.2004	27.9165
06.12.2004	27.8465
07.12.2004	27.885
08.12.2004	27.989
09.12.2004	28.022
20.12.2004	27.91
21.12.2004	27.851
22.12.2004	27.8375
23.12.2004	27.8235
24.12.2004	27.81
27.12.2004	27.7582
28.12.2004	27.79
29.12.2004	27.845
30.12.2004	27.755
11.01.2005	27.98
12.01.2005	27.82
13.01.2005	27.895
14.01.2005	27.94
18.01.2005	28.1225
19.01.2005	28.1463
20.01.2005	28.18
26.01.2005	28.021
27.01.2005	28.063
28.01.2005	28.0715
31.01.2005	28.015
01.02.2005	27.9725
02.02.2005	27.977
03.02.2005	28.005
04.02.2005	27.9475
07.02.2005	28.125
08.02.2005	28.185
09.02.2005	28.112
10.02.2005	28.08
11.02.2005	28.0663
14.02.2005	28.01
15.02.2005	28.0013
16.02.2005	27.9915
17.02.2005	27.965
18.02.2005	27.9325
21.02.2005	27.923
22.02.2005	27.7838
25.02.2005	27.7302
01.03.2005	27.68
02.03.2005	27.7338
03.03.2005	27.726
04.03.2005	27.6885
10.03.2005	27.453
11.03.2005	27.4438
14.03.2005	27.4788
16.03.2005	27.4713
17.03.2005	27.4813
18.03.2005	27.51
21.03.2005	27.5663
22.03.2005	27.57
23.03.2005	27.69
24.03.2005	27.667
25.03.2005	27.6985
28.03.2005	27.82
29.03.2005	27.8588
30.03.2005	27.845
31.03.2005	27.8571
01.04.2005	27.8035
04.04.2005	27.89
05.04.2005	27.9095
08.04.2005	27.846
11.04.2005	27.767
12.04.2005	27.778
13.04.2005	27.8046
14.04.2005	27.8655
15.04.2005	27.9097
18.04.2005	27.7883
19.04.2005	27.753
20.04.2005	27.735
21.04.2005	27.703
22.04.2005	27.704
25.04.2005	27.7388
26.04.2005	27.7438
